id,correctness_mean,correctness_std,correctness_count,readability_mean,readability_std,readability_count,usefulness_mean,usefulness_std,usefulness_count,has_hallucination_mean,severity_mean,severity_std,severity_count
0,5.0,0.0,3,3.6666666666666665,0.5773502691896258,3,5.0,0.0,3,0.0,,,0
10,1.6666666666666667,0.5773502691896258,3,2.6666666666666665,0.5773502691896258,3,2.0,0.0,3,1.0,,,0
22,5.0,0.0,3,4.666666666666667,0.5773502691896257,3,5.0,0.0,3,0.0,,,0
39,5.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
42,5.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
44,5.0,0.0,3,3.6666666666666665,0.5773502691896258,3,5.0,0.0,3,0.0,,,0
45,4.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
51,2.6666666666666665,0.5773502691896257,3,3.0,0.0,3,3.0,0.0,3,1.0,,,0
53,4.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
57,4.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
70,2.6666666666666665,0.5773502691896257,3,3.0,0.0,3,2.0,0.0,3,1.0,,,0
80,5.0,0.0,3,3.6666666666666665,0.5773502691896258,3,5.0,0.0,3,0.0,,,0
83,1.6666666666666667,0.5773502691896258,3,2.6666666666666665,0.5773502691896258,3,2.0,0.0,3,1.0,,,0
89,4.0,0.0,3,3.6666666666666665,0.5773502691896258,3,5.0,0.0,3,0.0,,,0
95,4.0,0.0,3,3.6666666666666665,0.5773502691896258,3,4.0,0.0,3,0.0,,,0
